TERM,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
6,425.146,439.574,454.003,468.431,482.859,497.288,511.716,526.144,540.573,555.001,569.429,583.858,598.286,614.212,630.138,646.065,661.991,677.917,693.843,709.769,725.695,741.622,757.548,773.474,789.400,806.950,824.500,842.050,859.600,877.150,894.700,912.250,929.800,947.350,964.900,982.450,1000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,345.168,356.882,368.596,380.310,392.024,403.738,415.452,427.166,438.880,450.594,462.308,474.023,485.737,498.667,511.597,524.527,537.457,550.387,563.317,576.247,589.177,602.107,615.037,627.967,640.897,655.146,669.394,683.642,697.891,712.139,726.388,740.636,754.884,769.133,783.381,797.630,811.878,827.555,843.232,858.909,874.585,890.262,905.939,921.616,937.293,952.970,968.646,984.323,1000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,286.049,295.757,305.464,315.172,324.880,334.587,344.295,354.003,363.710,373.418,383.126,392.833,402.541,413.256,423.972,434.687,445.402,456.118,466.833,477.548,488.264,498.979,509.694,520.410,531.125,542.933,554.741,566.549,578.356,590.164,601.972,613.780,625.588,637.396,649.203,661.011,672.819,685.811,698.802,711.794,724.785,737.777,750.768,763.760,776.752,789.743,802.735,815.726,828.718,842.991,857.265,871.538,885.812,900.085,914.359,928.632,942.906,957.179,971.453,985.726,1000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,240.798,248.970,257.142,265.314,273.486,281.658,289.830,298.002,306.174,314.346,322.518,330.690,338.862,347.882,356.902,365.922,374.942,383.963,392.983,402.003,411.023,420.043,429.064,438.084,447.104,457.044,466.984,476.923,486.863,496.803,506.743,516.683,526.623,536.562,546.502,556.442,566.382,577.318,588.255,599.191,610.127,621.064,632.000,642.936,653.872,664.809,675.745,686.681,697.618,709.633,721.648,733.663,745.679,757.694,769.709,781.725,793.740,805.755,817.770,829.786,841.801,854.984,868.167,881.351,894.534,907.717,920.900,934.084,947.267,960.450,973.633,986.817,1000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,205.224,212.188,219.153,226.118,233.082,240.047,247.011,253.976,260.941,267.905,274.870,281.835,288.799,296.487,304.174,311.862,319.549,327.237,334.924,342.612,350.299,357.987,365.674,373.362,381.050,389.521,397.992,406.463,414.935,423.406,431.877,440.348,448.820,457.291,465.762,474.234,482.705,492.025,501.346,510.666,519.987,529.307,538.628,547.948,557.269,566.589,575.910,585.230,594.551,604.791,615.031,625.271,635.511,645.751,655.991,666.231,676.471,686.711,696.951,707.191,717.431,728.667,739.902,751.137,762.372,773.608,784.843,796.078,807.314,818.549,829.784,841.020,852.255,864.567,876.879,889.191,901.503,913.815,926.128,938.440,950.752,963.064,975.376,987.688,1000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,176.659,182.654,188.649,194.644,200.639,206.635,212.630,218.625,224.620,230.615,236.610,242.606,248.601,255.218,261.836,268.453,275.071,281.688,288.306,294.923,301.541,308.158,314.776,321.393,328.010,335.303,342.595,349.887,357.179,364.471,371.763,379.055,386.347,393.639,400.931,408.223,415.515,423.538,431.561,439.584,447.607,455.630,463.653,471.676,479.700,487.723,495.746,503.769,511.792,520.606,529.421,538.235,547.050,555.865,564.679,573.494,582.308,591.123,599.937,608.752,617.567,627.238,636.909,646.580,656.252,665.923,675.594,685.266,694.937,704.608,714.279,723.951,733.622,744.220,754.818,765.416,776.014,786.612,797.210,807.808,818.406,829.004,839.602,850.200,860.798,872.398,883.998,895.599,907.199,918.799,930.399,941.999,953.599,965.200,976.800,988.400,1000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,153.326,158.530,163.733,168.936,174.140,179.343,184.546,189.749,194.953,200.156,205.359,210.563,215.766,221.509,227.253,232.996,238.740,244.483,250.226,255.970,261.713,267.457,273.200,278.943,284.687,291.016,297.344,303.673,310.002,316.331,322.660,328.989,335.318,341.647,347.976,354.305,360.634,367.597,374.560,381.523,388.487,395.450,402.413,409.376,416.340,423.303,430.266,437.229,444.193,451.843,459.493,467.143,474.794,482.444,490.094,497.744,505.394,513.045,520.695,528.345,535.995,544.389,552.783,561.177,569.570,577.964,586.358,594.752,603.146,611.539,619.933,628.327,636.721,645.919,655.117,664.315,673.513,682.711,691.909,701.107,710.305,719.503,728.701,737.899,747.098,757.165,767.233,777.300,787.368,797.436,807.503,817.571,827.639,837.706,847.774,857.842,867.909,878.917,889.924,900.932,911.939,922.947,933.955,944.962,955.970,966.977,977.985,988.992,1000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,133.998,138.545,143.092,147.640,152.187,156.734,161.282,165.829,170.376,174.924,179.471,184.018,188.566,193.585,198.604,203.623,208.643,213.662,218.681,223.701,228.720,233.739,238.759,243.778,248.797,254.328,259.859,265.390,270.921,276.452,281.983,287.514,293.045,298.576,304.107,309.638,315.169,321.254,327.340,333.425,339.510,345.596,351.681,357.766,363.852,369.937,376.022,382.108,388.193,394.879,401.564,408.250,414.936,421.621,428.307,434.993,441.678,448.364,455.050,461.735,468.421,475.756,483.092,490.427,497.763,505.098,512.434,519.769,527.105,534.440,541.776,549.111,556.446,564.485,572.523,580.561,588.599,596.638,604.676,612.714,620.752,628.791,636.829,644.867,652.905,661.704,670.502,679.300,688.098,696.897,705.695,714.493,723.292,732.090,740.888,749.686,758.485,768.104,777.724,787.343,796.963,806.582,816.202,825.822,835.441,845.061,854.680,864.300,873.919,884.426,894.933,905.440,915.946,926.453,936.960,947.466,957.973,968.480,978.987,989.493,1000.000,,,,,,,,,,,,,,,,,,,,,,,,
14,117.795,121.793,125.790,129.788,133.785,137.782,141.780,145.777,149.775,153.772,157.770,161.767,165.765,170.177,174.589,179.002,183.414,187.826,192.239,196.651,201.063,205.476,209.888,214.301,218.713,223.575,228.437,233.299,238.161,243.023,247.886,252.748,257.610,262.472,267.334,272.196,277.058,282.408,287.757,293.106,298.456,303.805,309.155,314.504,319.854,325.203,330.553,335.902,341.252,347.129,353.006,358.883,364.760,370.637,376.514,382.391,388.269,394.146,400.023,405.900,411.777,418.225,424.674,431.122,437.570,444.019,450.467,456.915,463.364,469.812,476.260,482.709,489.157,496.223,503.289,510.355,517.422,524.488,531.554,538.620,545.686,552.752,559.818,566.885,573.951,581.685,589.419,597.153,604.887,612.621,620.356,628.090,635.824,643.558,651.292,659.026,666.760,675.216,683.672,692.129,700.585,709.041,717.497,725.953,734.409,742.865,751.321,759.777,768.233,777.469,786.705,795.941,805.177,814.413,823.648,832.884,842.120,851.356,860.592,869.828,879.064,889.142,899.220,909.298,919.376,929.454,939.532,949.610,959.688,969.766,979.844,989.922,1000.000,,,,,,,,,,,,
